"supplier_name","value","department","cpv_code1","cpv_code2","cpv_code3","cpv_code4","cpv_code5","cpv_code6","cpv_code7","cpv_code8","cpv_code9","cpv_code10","cpv_code11","cpv_code12","cpv_code13","cpv_code14","cpv_code15","cpv_code16","cpv_code17","cpv_code18","cpv_code19","cpv_code20","cpv_code21","cpv_code22","cpv_code23","cpv_code24","cpv_code25","cpv_code26","cpv_code27","cpv_code28"
"British Telecommunications PLC","9000","Financial Services","30200000|32000000|32400000|32412100|32420000|32582000|48000000|64200000|71356300|72000000|72212200|72222300|72500000|72720000","|32583000|51300000","|64200000","|71316000","|72000000","|79340000","","","","","","","","","","","","","","","","","","","","","",""
"BROXAP LIMITED","5424.52","Parks & Recreation Services","34928480|39100000|45233293","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUSINESS IN THE COMMUNITY","5000","Economic Development & Tourism","80000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Civica UK Limited","15300","Financial Services","39310000|48000000|48100000|48170000|48217000|48311100|48422000|48442000|48517000|48600000|48610000|48612000|48825000|70333000|72000000|72212600|72227000|72260000|72261000|72262000|72590000","|48100000|48517000|50111000|60000000|71317200|72000000|72261000|72610000","|72227000|72266000","|72266000","","","","","","","","","","","","","","","","","","","","","","","",""
"Civica UK Limited","15510","Financial Services","39310000|48000000|48100000|48170000|48217000|48311100|48422000|48442000|48517000|48600000|48610000|48612000|48825000|70333000|72000000|72212600|72227000|72260000|72261000|72262000|72590000","|48100000|48517000|50111000|60000000|71317200|72000000|72261000|72610000","|72227000|72266000","|72266000","","","","","","","","","","","","","","","","","","","","","","","",""
"Civica UK Limited","21600","Information Services","39310000|48000000|48100000|48170000|48217000|48311100|48422000|48442000|48517000|48600000|48610000|48612000|48825000|70333000|72000000|72212600|72227000|72260000|72261000|72262000|72590000","|48100000|48517000|50111000|60000000|71317200|72000000|72261000|72610000","|72227000|72266000","|72266000","","","","","","","","","","","","","","","","","","","","","","","",""
"Civica UK Limited","5760","Information Services","39310000|48000000|48100000|48170000|48217000|48311100|48422000|48442000|48517000|48600000|48610000|48612000|48825000|70333000|72000000|72212600|72227000|72260000|72261000|72262000|72590000","|48100000|48517000|50111000|60000000|71317200|72000000|72261000|72610000","|72227000|72266000","|72266000","","","","","","","","","","","","","","","","","","","","","","","",""
"Civica UK Ltd","9300","Information Services","48000000|48100000|48217000|48300000|48517000|48612000|48812000|66110000|70333000|71600000|72000000|72250000|72400000|75100000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Civica UK Ltd","12960","Information Services","48000000|48100000|48217000|48300000|48517000|48612000|48812000|66110000|70333000|71600000|72000000|72250000|72400000|75100000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAEMER UK LIMITED","6080","Operational Services","34928480|39224340|44613600|90500000","|39224340","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAEMER UK LIMITED","6080","Operational Services","34928480|39224340|44613600|90500000","|39224340","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAEMER UK LIMITED","37500","Operational Services","34928480|39224340|44613600|90500000","|39224340","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAEMER UK LIMITED","31000","Operational Services","34928480|39224340|44613600|90500000","|39224340","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAEMER UK LIMITED","9120","Operational Services","34928480|39224340|44613600|90500000","|39224340","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAEMER UK LIMITED","5950","Operational Services","34928480|39224340|44613600|90500000","|39224340","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAEMER UK LIMITED","11934","Operational Services","34928480|39224340|44613600|90500000","|39224340","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAEMER UK LIMITED","9180","Operational Services","34928480|39224340|44613600|90500000","|39224340","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAEMER UK LIMITED","11400","Operational Services","34928480|39224340|44613600|90500000","|39224340","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAEMER UK LIMITED","7750","Operational Services","34928480|39224340|44613600|90500000","|39224340","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAEMER UK LIMITED","10850","Operational Services","34928480|39224340|44613600|90500000","|39224340","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAEMER UK LIMITED","9960","Operational Services","34928480|39224340|44613600|90500000","|39224340","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRAEMER UK LIMITED","6642","Operational Services","34928480|39224340|44613600|90500000","|39224340","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gibsons Garden Machinery Ltd","28654","Parks & Recreation Services","34113000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gibsons Garden Machinery Ltd","17805","Parks & Recreation Services","34113000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Go Plant Fleet Services Limited","9840","Operational Services","50100000","34350000","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"Landscape Engineering Ltd","11465.3","Property Services","45000000","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"Landscape Engineering Ltd","6855","Property Services","45000000","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"Landscape Engineering Ltd","14900","Parks & Recreation Services","45000000","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"Landscape Engineering Ltd","14900","Parks & Recreation Services","45000000","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"LINK TREASURY SERVICES LIMITED","5850","Financial Services","66000000|66114000|66170000|66600000","|66600000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Local Government Association","8904","Financial Services","75131000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Locata Housing Services Limited","5000","Housing Regeneration Services","48517000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MGB Plastics Limited","6000","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","32100","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","249900","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","29400","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","8940","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","6240","Parks & Recreation Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","16400","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"MGB Plastics Limited","6720","Operational Services","34928480","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"NORTHGATE PUBLIC SERVICES (UK) LIMITED","7231.8","Information Services","30238000|48000000|48100000|48311000|48500000|48600000|60000000|72000000|72212222|72267100|72322000|72590000|72610000|75000000|75310000","|63121100|72000000|72512000|79000000","|72317000|72512000|75310000|79221000","|66000000|79996000|79996100|85321000","|48000000|79999100","|92512100","","","","","","","","","","","","","","","","","","","","","",""
"Northgate Public Services (UK) Ltd","47359.3","Information Services","48000000|72267000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northgate Public Services (UK) Ltd","6275.55","Information Services","48000000|72267000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northgate Public Services UK Ltd","47359.3","Information Services","48000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northgate Public Services UK Ltd","6275.55","Information Services","48000000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","6599.4","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","23771.4","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","8376.46","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","6123.06","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","8376.46","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","5649","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"Softcat","5847.92","Information Services","30000000|48000000|48218000|48220000|48422000|48611000|48822000|72250000","|48732000|72260000","|72212610","","","","","","","","","","","","","","","","","","","","","","","","",""
"STORM TECHNOLOGIES LIMITED","5525.52","Information Services","30000000|72222300","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"STORM TECHNOLOGIES LIMITED","6576.6","Information Services","30000000|72222300","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"STORM TECHNOLOGIES LIMITED","6999.9","Information Services","30000000|72222300","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"STORM TECHNOLOGIES LIMITED","13999.8","Information Services","30000000|72222300","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"STORM TECHNOLOGIES LIMITED","6199.9","Information Services","30000000|72222300","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"STORM TECHNOLOGIES LIMITED","20999.7","Information Services","30000000|72222300","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"Xpress Software Solutions Ltd","8490.16","Information Services","48000000","|48311000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Xpress Software Solutions Ltd","8490.16","Information Services","48000000","|48311000","","","","","","","","","","","","","","","","","","","","","","","","","",""
